buy_times user_id buys
94 4949800 1887615,2244882,928732,3070722,1020926,693333,807678,171914,428244,428244,2257978,1898983,972136,972136,1811155,1479615,600080,600080,2555025,2096737,2096737,2555025,444566,105101,2555025,2096737,1293766,1809501,3233166,3233166,1197766,619445,2402043,26273,759400,2395561,105101,2734173,308880,2395561,1919294,1054037,105101,1919294,308880,2548083,2277331,105101,1919294,308880,2548083,2277331,1054037,519661,444566,1166296,1989862,971810,2997692,2117002,434980,2880435,3243118,2689199,3257001,3257001,1367040,629506,280202,1976599,1043734,280202,1367040,2140751,2792089,446425,1192606,3022700,3175644,1088531,1580997,2236161,1088531,1580997,48108,3193461,773547,1580997,1638227,163404,780013,1580997,773547,1044693
92 11321799 271249,2109416,271249,271249,271249,271249,271249,2109416,271249,271249,1811923,271249,1361668,1914944,2109416,271249,1361668,271249,2109416,1361668,1914944,1218840,1811923,271249,271249,271249,271249,271249,271249,271249,271249,271249,1914944,1914944,271249,2317667,2109416,271249,271249,271249,1914944,1811923,271249,271249,271249,1914944,271249,2317667,271249,271249,2460657,1218840,2109416,1361668,1811923,1811923,2087826,1811923,1811923,1130628,1130628,1914944,2460657,2460657,48741,1811923,2460657,2460657,3151861,2460657,3151861,271249,271249,1559525,983506,271249,271249,48741,271249,1914944,484130,1914944,271249,271249,271249,271249,271249,271249,271249,271249,271249,271249
91 5979768 710754,1077592,1116744,1099604,1077592,2891171,230091,230091,1116744,1077592,2891171,710754,2716061,1116744,1077592,1493834,2716061,710754,1793137,710754,1116744,1482816,2891171,1482816,1344376,710754,1482816,3051260,1077592,377583,230091,416974,710754,710754,2512320,1344376,710754,2845479,1482816,1493834,1116744,797907,1077592,710754,600142,1116744,710754,1344376,1077592,797907,230091,600142,2424194,600142,230091,797907,2424194,1344376,710754,1116744,600142,2828719,1793137,230091,1344376,710754,1482816,2755022,2989379,1116744,1244984,2673873,1821188,2828719,2989379,710754,3007687,293796,230091,2989379,3007687,1346560,2673873,1244984,2755022,3007687,797907,710754,230091,230091,710754
82 9146755 3174686,3174686,61642,1119892,1148498,1148498,2802655,2802655,696054,2802655,2461188,2796651,1353151,2639105,2639105,2509286,809837,3022146,2509286,809837,3022146,2592190,2185905,1206121,1027353,2185905,1206121,2185905,2639105,1027353,1601778,1601778,1360835,2248744,2248744,3059057,1891330,1891330,2004926,1857853,1857853,1733133,2426156,1399635,17524,2077745,1634063,1560429,381844,1634063,2077745,381844,1560429,2576165,2077745,2077745,2600291,2004926,1104678,2004926,1810879,263677,714936,2151355,245410,778483,1412849,1394939,49005,3025816,163696,2030464,1019018,2784372,3151945,2361896,1441937,1200484,2965854,764047,955807,764047
81 1006921 930436,235462,1243526,1737009,3260124,2851488,1033233,214660,2009332,339295,174418,951724,1169138,474406,2607731,2299243,1593377,2825689,2865412,57819,2256709,1993877,1384536,1110073,2418759,268875,1156894,733055,2420336,2422562,1834353,1106238,1127933,247684,2418759,904084,3246544,287651,1266857,1266857,124810,2082664,1902385,280188,974214,911447,1536320,1623917,98492,1312258,1803684,2401895,3246544,2886783,1312258,857073,1872918,17270,1040026,459757,2449885,2811615,1781679,1840239,1263321,2302381,1822887,1008785,3213481,1621551,434972,2804425,541041,1382306,3134361,2640972,181191,1008785,2817406,3048229,2318528
79 11512902 417162,1384468,1384468,680217,2231962,525192,1996187,2350841,907441,2350841,2350841,2918761,764949,764949,2983873,45987,1872366,68970,2983873,3135481,2405458,2354046,314507,2936826,2189540,2423160,1707882,1154931,656497,2814057,656497,2149891,1934102,656497,328191,2622139,1366974,673462,691420,1590243,1590243,1498346,2447854,3257863,511849,2951644,1397313,1908256,1513373,2437961,1711696,158039,1745650,2951644,2059805,2918511,2437961,891459,2688727,2634520,1272181,1272181,1991160,3112258,3112258,990190,2454578,1294396,1839533,1149667,1897496,1515635,659977,3000790,2262813,3162055,2262813,623840,2262813
78 7669754 2583545,2583545,2449925,1765232,2771024,3217452,2043757,2043757,2174605,576634,2506043,1835649,2527226,2119150,158449,556030,556030,808455,434204,434204,1105659,1105659,2053710,1528603,1528603,2900670,2344692,1588901,2053710,2344692,1250882,540514,1250882,1250882,3126955,1795010,2066110,2344692,2344692,2182356,2885834,984334,2885834,1743364,2839866,2872040,2207247,45817,1459088,1459088,45817,127548,1056810,635151,2839866,2549750,3000297,807406,1457288,129796,3000297,575209,1457288,1938775,187687,989511,989511,2227277,2227277,2026374,2026374,987426,2002486,220495,3201363,220495,2774337,2774337
77 4203287 1777459,3069278,3069278,1777459,1777459,2841553,595888,136391,2729255,2729255,685479,1843105,289468,1212760,3111122,2321389,1115605,448411,375927,375927,2492890,2520688,3037853,2158000,2158000,363807,523709,1607549,2430631,180511,180511,2966996,180511,2532611,2532611,831129,1260581,1742283,1514617,2083347,3053313,3053313,1154064,1154064,2669946,2083347,2780151,2826072,1514617,1250328,1674869,1250328,1777459,998610,1037657,998610,2175545,998610,2363499,2175545,1037657,2363499,184918,184918,184918,1817310,1822107,1953470,426055,2147196,720445,237765,1834834,1834834,1387062,622740,622740
76 10120282 1125330,1125330,797858,1775636,3037853,1897145,820102,820102,820102,272317,272317,272317,3037853,1897145,1897145,2262480,3037853,2262480,2262480,3037853,3037853,3037853,1897145,3037853,3037853,2977125,1897145,2351291,3239995,1897145,2351291,2351291,1897145,1006970,2693892,1897145,3037853,3239995,1006970,3037853,3037853,3037853,3037853,1897861,2031952,2031952,2648628,820888,1126184,1897145,3037853,1421698,2031952,3037853,1897145,1897145,3037853,1126184,2648628,1897861,1533419,1126184,1533419,1126184,1126184,1126184,1885095,1885095,1126184,1126184,3037853,3037853,1126184,1126184,1897861,1126184
75 11919785 1035333,1954276,2223555,552959,78163,552959,78163,2850047,2223555,1413297,391028,641881,1695730,1695730,641881,641881,641881,641881,641881,1229212,641881,641881,1651938,641881,1651938,2812586,536843,536843,1651938,2812586,861298,2812586,675696,2367109,2295734,1651938,954860,1954276,3053147,954860,954860,954860,954860,954860,3033430,90624,954860,954860,2516567,954860,954860,954860,954860,954860,954860,954860,954860,3033430,954860,954860,954860,954860,954860,954860,954860,954860,954860,954860,1506424,2457892,2457892,954860,954860,1506424,954860
73 6502768 842294,358053,456021,2967921,1459858,1459858,3158454,1359740,2322944,956798,941150,2648538,358053,956798,2456772,3158454,2322944,1528751,1359740,2649195,838509,2984418,2984418,838509,3104920,1057599,325370,1652348,3104920,1057599,1128061,1271597,2526958,2812445,2812445,972454,972454,1860223,2572297,568409,594563,1091809,1551881,1057599,1057599,2708235,2324115,2251849,2973814,1642481,3052438,1551459,2567731,570724,805992,1057599,2523908,3193390,358053,1326710,1054141,10514,1771609,1771609,2986495,2343231,3193390,869219,746216,2125274,1698632,1208380,1208380
73 9446585 2991103,710965,335194,505140,1239941,3114561,2524713,1092533,710965,1092533,638844,3112863,1092533,836667,864140,500420,2482242,1699046,2482242,500420,3112863,500420,391302,2532392,284790,1531253,2573146,2045894,1664703,2432733,1127149,1664703,2045894,1127149,2265898,1759824,1151713,1254277,1547584,3014532,3014532,455606,3014532,1859672,455606,2335172,1247786,1284243,3014532,1025793,237512,284790,2474240,237512,2265898,1025793,2657019,500420,1965298,1242234,822961,1942466,1467615,1215493,1215493,2604292,2738893,2604292,822961,822961,2620671,2738893,2620671
71 11035458 769356,2052436,1230863,2506352,2506352,2386423,1500770,923112,1488684,1770923,2849048,2849048,1151231,1271179,392708,3140093,1918916,3140093,1359747,1271179,763480,2045894,763480,763480,2147056,1003268,2577304,349445,2339334,3130774,1199834,2561470,2561470,473324,567205,1668488,2744658,2752836,3077018,1020551,506442,378567,1069407,567205,3229427,1768780,1353540,1954597,3247210,3140700,3247210,627709,3140700,3140700,3140700,897114,2126792,986979,2563673,2728076,2970230,847496,1823461,1133951,2959992,922095,2460354,3084167,3084167,1598446,236047
69 1410793 10954,2717292,718396,2108705,2717292,1162022,2264119,3016219,3085045,1254153,1715434,2475069,3146481,1966660,221464,1302733,2679457,2846378,2396753,2064735,1438974,3268631,2064735,2093954,2673216,286326,82365,2692024,833619,2822736,254756,2673216,2093954,2064735,2831877,710176,1175833,883163,2967307,403465,1813982,2734097,1168095,965546,885399,1532793,970652,3253026,367237,84204,1806826,2011528,3253026,812943,3221813,3221813,2846819,1874346,1042554,1686246,992992,323281,2086682,2926893,914622,2323794,816070,2107883,1823295
68 10850807 947991,2758349,2003803,1573796,1041799,590474,2623492,1324985,2843327,1170433,1573796,3126222,694474,2260278,1573796,1430657,1612356,2204069,3268215,575625,2774633,1979447,2857690,428250,900745,2142509,1004809,292839,1438275,1802389,227590,491179,1448826,1849587,2345305,227590,2250836,2335764,3077534,2222804,1448826,3003043,1432714,1754442,2844266,3098018,1805135,1699148,1448826,147661,1790348,925756,2521120,2053541,2599038,3054018,2521120,1800443,2599038,2132028,593114,2132028,388205,501757,3151295,736122,1446774,147661
67 9217970 991503,2364536,1594083,2202120,3227483,420311,22938,2824560,1166735,19913,3195496,3221733,3005303,337310,2541353,2659466,460546,2555851,2555851,2874305,1136083,307822,2857694,3089375,1824569,1824569,1318459,960414,200987,2621826,90440,90440,2724695,3238062,2627315,2219557,1866188,53403,996625,1239941,2857465,1777459,1068609,1068609,1501006,1665657,2868834,108930,53403,466610,2956556,2122942,2249478,2814497,972461,3132404,236290,471078,2122942,26976,3110377,3257001,3110377,3110377,1316469,688649,1896744
67 10035048 1246091,1246091,1246091,1246091,1246091,1246091,1246091,1246091,1246091,1246091,1246091,1246091,1246091,1246091,1246091,527167,2990112,2997174,2997174,2997174,363074,363074,363074,363074,363074,363074,363074,3052586,363074,3083300,1794001,86702,1794001,2997174,1794001,1794001,1794001,1794001,1735229,2918520,1794001,1794001,1794001,1735229,1794001,920779,86702,920779,920779,520349,1141759,824663,3221323,824663,824663,1141759,363074,824663,824663,2117743,184114,824663,824663,1056276,184114,1040361,824663
67 8254688 2195774,815974,3240878,3240878,221714,221714,1827474,221714,2991170,148831,1934229,683348,148831,683348,683348,683348,683348,683348,148831,148831,683348,683348,683348,3113948,3113948,3113948,683348,3113948,3113948,3113948,3240878,3113948,3113948,638479,25206,25206,1943972,3113948,1981023,1498925,25206,1498925,2356697,1498925,1498925,1498925,788852,1498925,1498925,477471,477471,2364167,2679421,2628005,2364167,2679421,2364167,2364167,507800,1589621,2364167,2364167,1589621,2628005,2489833,2364167,2811117
65 5330898 1239561,360922,1448834,2768161,2541990,1586813,541637,1627412,1586813,1294873,3218369,3266988,662607,1363707,3266988,1856946,1505610,3266988,1017542,1809899,1235529,2759476,1271615,3215986,594426,691636,56755,2746154,538434,538434,1451797,3191368,1107112,1330367,367093,2192118,2656975,2971863,716837,1623020,1623020,3172994,1175903,1175903,2711133,2711133,2924744,1327789,822698,1506087,1967640,520248,190126,1870534,731048,403068,292641,342262,403068,292641,227135,1813450,227135,1757340,3174686
65 6804479 2698462,1728862,3234958,2201059,424140,45057,3036508,3084628,1624688,903847,2758266,1959146,2102552,729523,24208,3062649,3012575,673504,829641,587073,1806503,786368,891781,1429319,1201142,634106,881319,2389910,1660981,918994,1027151,777542,3031609,1313511,2817739,1011800,61192,1738009,1361073,605216,3254226,2258716,2369304,958643,2097165,857429,59946,119787,2953541,2024203,594608,3084225,2907217,458655,1285704,1967986,2832782,21584,2429332,1557565,621771,551956,300323,21584,1327653
65 11419428 578304,578304,1365020,692895,1481714,1481714,1928444,1928444,1774451,2671138,1322353,1322353,1774451,2496888,2496888,3068798,393804,3137134,1722319,1722319,155900,1624746,355239,1722319,254016,1674112,1692693,1692693,2379592,2399934,2399934,1692693,2610829,766090,2610829,2610829,2587350,1543956,2587350,622036,1217945,703276,750888,750888,2408311,1255887,1255887,212557,2924514,2924514,212557,212557,2411080,212557,193534,193534,193534,3216526,1713583,1713583,3216526,2097552,1951315,803993,2283589
63 2184134 2603470,3254795,3260124,1033233,1169138,1110913,1387271,1593377,2865412,2262178,823311,57819,2637783,259873,2256709,363983,2418759,268875,2827661,733055,2422562,1422576,688694,1902385,2808341,238499,1156894,2989514,2808341,2082664,2418759,1584854,2062131,2581813,406900,1197118,1422576,178941,2355336,3246544,2607429,1600145,1959642,359994,1558066,2186478,2082664,2328762,1447903,1841924,974214,1536320,2307272,972136,36643,857073,2581813,1040026,1703362,2005494,541041,2640972,1992661
63 10248957 2593509,1053863,2600288,1212105,2037320,2693730,246140,688370,969609,2241523,1592309,71088,1622326,1776295,2047306,1728201,1589059,2489745,2783258,564254,1821788,2875709,2875709,2109816,3046812,3137595,229034,2526413,3063818,2621826,888063,2514705,1063442,1212441,1543843,1212441,93074,966103,2597586,1902967,3055571,1871748,671118,736254,3148560,3010844,3010844,312338,1233149,2606426,2606426,2554757,1230,1526128,3088499,2023294,1040737,2163049,2394769,2745392,812219,550490,2732699
63 9608411 240404,823590,823590,823590,2403300,823590,3052470,1463848,1463848,823590,823590,823590,823590,823590,823590,1940343,823590,823590,1940343,823590,9047,3233507,2524102,823590,823590,823590,823590,240404,823590,11258,1667851,1667851,823590,832441,823590,823590,1260825,1710878,832441,823590,823590,710217,710217,710217,823590,823590,823590,823590,823590,823590,823590,823590,823590,823590,823590,823590,823590,710217,874374,1374350,823590,1920844,378219
62 10862584 1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,1262825,3160588,1262825,1262825,209710,2304425,3166358,2589504,2748538,2589504,2589504,2589504,2589504,2589504,2589504,2589504,2589504,2589504,3166358,2589504,2589504,3166358,2589504,3166358,2589504,2589504,3166358,2589504,2589504,2589504,2589504,2589504,2589504,2589504,2589504,1555650,279028,2559707
60 5230952 1033233,119703,2581813,2824560,1494865,1289434,2418759,1027616,2422562,2581813,972136,2607429,1558066,1510781,249271,1841924,321972,2627315,2886783,1732321,3229831,3022074,11144,341667,2123044,1840239,2983792,1732321,1457785,1703362,1591130,2123044,1422576,791670,1484277,94220,3224383,2307272,2989906,1457785,1033086,2907114,2985086,1093442,266366,2446472,2289781,41550,1762222,606373,205531,345389,3255032,1261367,2218466,1093258,461575,483504,1498215,266366
60 2306089 1460562,512850,3063916,1242368,632379,2658894,438371,2955430,2341234,2041733,1723903,1259271,2513963,3194567,438371,2341234,2513963,1752638,699627,1789028,1789028,699627,1789028,2928165,378555,71845,826845,874776,71845,2928165,1515376,2913986,932307,3010121,16116,16116,2261957,2261957,346579,481473,1918916,3042341,481473,2261957,2883935,3063818,2638514,969040,2962192,931688,3069701,718396,2817520,2206225,1367040,1088531,367043,895075,2206225,2723012
60 5310468 2146435,1636080,2581011,1179676,169783,2760536,1294549,1196846,2760536,2760536,939627,2764351,534754,1041926,2345565,2760536,550297,1066182,891607,550297,2760536,1405173,2760536,1001084,1999915,2760536,1320005,2760536,1320005,2760536,1076855,1294549,1178133,1490206,2760536,2244678,2244678,2244678,2244678,2244678,2244678,3221156,2244678,2244678,2723655,2244678,3263814,3079611,2633292,2993052,3092376,3079611,1441829,2442035,1659478,2519201,2343133,2117994,2597695,1037648
59 2052596 241574,3019348,1838921,293971,837840,1503609,651085,110792,1674375,1694119,527778,2943652,1980814,1865119,291160,59317,1702573,689792,2380415,1644572,2573883,1681157,2793114,1836620,513396,2784906,161799,2346007,1655396,1096178,243212,1940013,466117,1336141,180696,825092,1131685,327086,1906741,115671,508839,2953541,1195385,2024203,594608,2267725,2699013,3084225,371313,2907217,714413,2541523,98290,458655,1285704,1421695,1040693,2798771,269421
58 569274 745369,39711,2648426,849530,849530,82600,737124,2127907,3124052,1259193,386932,386932,2375924,967333,640843,988421,2985660,2558182,2357060,1360926,102935,3164638,1433578,2614914,1910776,365073,20996,188380,1433578,2098160,733995,3092666,2998579,2749914,1876047,2692854,586185,596994,513458,107229,2418179,2418179,2418179,1645722,3023976,674061,477978,739708,700692,700692,674061,477978,1645722,848325,1173881,2116978,2935069,2017124
58 2317815 3098807,1202982,2851039,2047680,1401892,583011,1355658,858050,1166303,2851039,2114293,375106,3198270,2521548,2521548,1123774,3264808,1123774,2628089,2815961,1988562,1988562,2096660,2052802,2477211,2376336,2400380,2382110,2426102,2423326,2091375,2423326,2733771,3129887,425640,1269823,1454835,1852321,2894533,1006111,2214041,3250312,3236070,2033317,2003697,923024,732738,2244205,2337796,1657870,1657870,1657870,57048,2467623,2502165,821816,3064701,638197
58 886581 764741,764741,764741,441708,441708,441708,329876,3069278,441708,1666074,2051617,329876,329876,329876,329876,2051617,329876,3069278,897248,1005719,3156864,1201142,686425,686425,686425,1750552,3156864,3230221,2251086,2555716,2350196,2350196,2350196,2350196,2350196,2350196,2350196,2350196,98492,2350196,2350196,2350196,2350196,2350196,2350196,2350196,2350196,2350196,2350196,2350196,2350196,61933,2350196,3110523,1343744,1350043,1343744,926442
56 7328509 1511957,1511957,593304,2262135,251104,2128899,2568677,2419584,2419584,1037106,2891309,1778559,1778559,1909484,1427369,638148,3172063,2708233,3017115,2166645,292759,2451560,1300425,1675702,266014,2162328,851028,2451560,1346393,1346393,2304796,911447,246458,428250,347404,347404,347404,637108,345900,1088261,637108,345900,1534779,1578835,2866001,1775000,969875,2446458,969875,1053025,1053025,2446458,298917,938331,428250,938331
